	model	mparms	trsamples	bsize	lr	gamma	maxepochs	avgtestloss
229	Linear1_Dropout	(0.9,)	600	20	0.5	0.3	100	0.16198932409286498
230	Linear1_Dropout	(0.9,)	600	20	0.5	0.3	250	0.16198932409286498
231	Linear1_Dropout	(0.9,)	600	20	0.5	0.7	10	0.16133788466453552
232	Linear1_Dropout	(0.9,)	600	20	0.5	0.7	100	0.16129013180732726
233	Linear1_Dropout	(0.9,)	600	20	0.5	0.7	250	0.16129013180732726
234	Linear1_Dropout	(0.9,)	600	20	1.0	0.3	10	0.160707448720932
235	Linear1_Dropout	(0.9,)	600	20	1.0	0.3	100	0.1607074820995331
236	Linear1_Dropout	(0.9,)	600	20	1.0	0.3	250	0.1607074820995331
237	Linear1_Dropout	(0.9,)	600	20	1.0	0.7	10	0.16042326688766478
238	Linear1_Dropout	(0.9,)	600	20	1.0	0.7	100	0.16057073473930358
239	Linear1_Dropout	(0.9,)	600	20	1.0	0.7	250	0.16057073473930358
240	Linear1_Dropout	(0.9,)	600	50	0.5	0.3	10	0.1603994393348694
241	Linear1_Dropout	(0.9,)	600	50	0.5	0.3	100	0.1603994369506836
242	Linear1_Dropout	(0.9,)	600	50	0.5	0.3	250	0.1603994369506836
243	Linear1_Dropout	(0.9,)	600	50	0.5	0.7	10	0.1606153106689453
244	Linear1_Dropout	(0.9,)	600	50	0.5	0.7	100	0.1605934000015259
245	Linear1_Dropout	(0.9,)	600	50	0.5	0.7	250	0.1605934000015259
246	Linear1_Dropout	(0.9,)	600	50	1.0	0.3	10	0.15998144388198854
247	Linear1_Dropout	(0.9,)	600	50	1.0	0.3	100	0.1599814772605896
248	Linear1_Dropout	(0.9,)	600	50	1.0	0.3	250	0.1599814772605896
249	Linear1_Dropout	(0.9,)	600	50	1.0	0.7	10	0.16050997734069825
250	Linear1_Dropout	(0.9,)	600	50	1.0	0.7	100	0.16036195993423463
251	Linear1_Dropout	(0.9,)	600	50	1.0	0.7	250	0.16036195993423463
252	Linear1_Dropout	(0.9,)	6000	10	0.5	0.3	10	0.15734289830923082
253	Linear1_Dropout	(0.9,)	6000	10	0.5	0.3	100	0.15734287732839583
254	Linear1_Dropout	(0.9,)	6000	10	0.5	0.3	250	0.15734287732839583
255	Linear1_Dropout	(0.9,)	6000	10	0.5	0.7	10	0.15737535345554352
256	Linear1_Dropout	(0.9,)	6000	10	0.5	0.7	100	0.15758483785390853
257	Linear1_Dropout	(0.9,)	6000	10	0.5	0.7	250	0.15758483785390853
258	Linear1_Dropout	(0.9,)	6000	10	1.0	0.3	10	0.15756165021657945
259	Linear1_Dropout	(0.9,)	6000	10	1.0	0.3	100	0.15756164979934692
260	Linear1_Dropout	(0.9,)	6000	10	1.0	0.3	250	0.15756164979934692
261	Linear1_Dropout	(0.9,)	6000	10	1.0	0.7	10	0.1575681172311306
262	Linear1_Dropout	(0.9,)	6000	10	1.0	0.7	100	0.1573708473443985
263	Linear1_Dropout	(0.9,)	6000	10	1.0	0.7	250	0.1573708473443985
264	Linear1_Dropout	(0.9,)	6000	20	0.5	0.3	10	0.1571349962949753
265	Linear1_Dropout	(0.9,)	6000	20	0.5	0.3	100	0.15713500988483428
266	Linear1_Dropout	(0.9,)	6000	20	0.5	0.3	250	0.15713500988483428
